ethanol mol frac,"n,n-dimethylformamide mol frac",tetrahydrofuran mol frac,Tb[K]
0,0,1,338.5614829
0,0.1,0.9,341.225228
0,0.2,0.8,345.6503051
0,0.3,0.7,352.7574383
0,0.4,0.6,362.8583956
0,0.5,0.5,375.8632859
0,0.6,0.4,390.8015787
0,0.7,0.3,405.246966
0,0.8,0.2,416.0509224
0,0.9,0.1,421.6948745
0,1,0,423.2574047
0.1,0,0.9,337.2212092
0.1,0.1,0.8,340.5939831
0.1,0.2,0.7,345.7192236
0.1,0.3,0.6,353.3238217
0.1,0.4,0.5,363.4349192
0.1,0.5,0.4,375.5030591
0.1,0.6,0.3,388.1635799
0.1,0.7,0.2,399.364418
0.1,0.8,0.1,407.399137
0.1,0.9,0,412.0408601
0.2,0,0.8,337.0874908
0.2,0.1,0.7,340.7009385
0.2,0.2,0.6,346.3493662
0.2,0.3,0.5,354.3093216
0.2,0.4,0.4,364.2732806
0.2,0.5,0.3,375.3648022
0.2,0.6,0.2,386.1749835
0.2,0.7,0.1,395.2297668
0.2,0.8,0,401.780633
0.3,0,0.7,337.399612
0.3,0.1,0.6,341.3486909
0.3,0.2,0.5,347.4722321
0.3,0.3,0.4,355.6744424
0.3,0.4,0.3,365.3489418
0.3,0.5,0.2,375.4538127
0.3,0.6,0.1,384.7689849
0.3,0.7,0,392.4025011
0.4,0,0.6,338.0211519
0.4,0.1,0.5,342.4441534
0.4,0.2,0.4,349.0273307
0.4,0.3,0.3,357.3589135
0.4,0.4,0.2,366.6130432
0.4,0.5,0.1,375.753097
0.4,0.6,0,383.8863838
0.5,0,0.5,338.9499908
0.5,0.1,0.4,343.9599539
0.5,0.2,0.3,350.9687437
0.5,0.3,0.2,359.2952346
0.5,0.4,0.1,368.0095214
0.5,0.5,0,376.2408005
0.6,0,0.4,340.2398741
0.6,0.1,0.3,345.9069739
0.6,0.2,0.2,353.2582791
0.6,0.3,0.1,361.4125341
0.6,0.4,0,369.4848642
0.7,0,0.3,341.9866562
0.7,0.1,0.2,348.3188699
0.7,0.2,0.1,355.8561109
0.7,0.3,0,363.6372016
0.8,0,0.2,344.3320648
0.8,0.1,0.1,351.2411306
0.8,0.2,0,358.7116785
0.9,0,0.1,347.4736876
0.9,0.1,0,354.7190103
1,0,0,351.671973
